Event Name,# Attending,#Spaces
BSC24: Dinorwig Slate Quarry & Elidir Fawr (Sun),13,2
BSC24: Yr Wyddfa (Snowdon) via Miners Path (Sun),12,0
BSC24:  Penderyn Distillery Tour & Tasting (Sun),12,0
BSC24: Moel Eilio Horseshoe & Waterfalls Walk (Sun),15,0
BSC24: Afon Ddu and Llyn Cowlyd Walk (Sun),25,5
BSC24: Aber Falls Walk (Sun),30,0
Last Updated: 2024-05-25 21:42:19
