Event Name,# Attending,#Spaces
BSC24: Coasteering (Sun Full Day),10,2
BSC24: Gorge Scrambling (Sun AM),12,18
"BSC24: Challenge the Gorge: Hike, Scramble, Explore in Geirionydd (Sun AM)",0,20
BSC24: Introduction to climbing (Sun PM),3,7
"BSC24: Challenge the Gorge: Hike, Scramble, Explore in Geirionydd (Sun PM)",12,8
BSC24: Abseiling (Sun PM),6,4
BSC24: Gorge Scrambling (Sun PM),9,1
BSC24: Bounce Below (Sun PM),20,0
Last Updated: 2024-05-25 21:42:12
